Date/Time,Temprature C,Humidity %,Pressure kpa,Wind Speed_km/h,Visibility_km,Weather
1/3/2012 10:00,-15.3,56,101.29,24,24.1,Cloudy
1/3/2012 11:00,-14.9,54,101.33,22,24.1,Mostly Cloudy
1/3/2012 12:00,-14.9,52,101.34,20,24.1,Mainly Clear
1/3/2012 13:00,-15.1,54,101.34,22,24.1,Mainly Clear
1/3/2012 14:00,-14.9,50,101.38,22,24.1,Mainly Clear
1/3/2012 15:00,-14.8,53,101.44,19,24.1,Mainly Clear
1/3/2012 16:00,-15.3,52,101.51,22,24.1,Mainly Clear
1/3/2012 17:00,-15.8,53,101.58,22,24.1,Mainly Clear
1/3/2012 18:00,-16.3,52,101.64,24,25,Mainly Clear
1/3/2012 19:00,-16.9,50,101.74,24,25,Clear
1/3/2012 20:00,-17.3,49,101.82,24,25,Mainly Clear
1/3/2012 21:00,-17,52,101.86,15,25,Mostly Cloudy
1/3/2012 22:00,-17.1,52,101.86,20,25,Mostly Cloudy
1/3/2012 23:00,-17.3,55,101.87,17,25,Mostly Cloudy
1/4/2012 0:00,-17.5,56,101.88,13,25,Mostly Cloudy
1/4/2012 1:00,-17.9,58,101.86,11,25,Mainly Clear
1/4/2012 2:00,-18.1,61,101.89,15,25,Mainly Clear
1/4/2012 3:00,-18.5,59,101.88,13,25,Mainly Clear
1/4/2012 4:00,-18.5,59,101.82,13,25,Mainly Clear
1/4/2012 5:00,-18.6,62,101.77,9,25,Mainly Clear
1/4/2012 6:00,-18.5,61,101.74,11,25,Cloudy
1/4/2012 7:00,-18.2,60,101.75,11,25,Cloudy
1/4/2012 8:00,-17.8,57,101.73,17,24.1,Mostly Cloudy
1/4/2012 9:00,-16.8,61,101.68,9,24.1,Mostly Cloudy
1/4/2012 10:00,-15.2,63,101.54,7,24.1,Mostly Cloudy
1/4/2012 11:00,-14.2,56,101.41,13,24.1,Mostly Cloudy
1/4/2012 12:00,-13.7,51,101.25,11,24.1,Snow
1/4/2012 13:00,-12.4,53,101.07,11,24.1,Cloudy
1/4/2012 14:00,-11.3,53,100.97,7,19.3,Snow
1/4/2012 15:00,-10.2,61,100.89,11,9.7,Snow
1/4/2012 16:00,-9.4,61,100.79,13,19.3,Snow
1/4/2012 17:00,-8.9,71,100.76,9,4.8,Snow
1/4/2012 18:00,-8.9,75,100.69,11,9.7,Snow
1/4/2012 19:00,-8.4,71,100.65,9,16.1,Snow
1/4/2012 20:00,-7.8,71,100.61,9,16.1,Snow
1/4/2012 21:00,-7.6,73,100.54,7,11.3,Snow
1/4/2012 22:00,-9.5,77,100.5,6,9.7,Snow
1/4/2012 23:00,-9.6,79,100.42,6,9.7,Snow
1/5/2012 0:00,-8.8,79,100.32,4,9.7,Snow
1/5/2012 1:00,-7.5,81,100.29,0,9.7,Snow
1/5/2012 2:00,-5.4,80,100.28,9,8,Snow
1/5/2012 3:00,-5,81,100.24,11,9.7,Snow
1/5/2012 4:00,-4.1,83,100.21,9,4.8,Snow
1/5/2012 5:00,-7,82,100.19,4,4,Snow
1/5/2012 6:00,-8.2,82,100.26,6,6.4,Snow
1/5/2012 7:00,-7.1,82,100.31,9,9.7,Snow
1/5/2012 8:00,-6.1,79,100.39,11,9.7,Snow
1/5/2012 9:00,-6.6,76,100.42,9,24.1,Mainly Clear
1/5/2012 10:00,-6,73,100.45,17,48.3,Mainly Clear
1/5/2012 11:00,-5.6,70,100.41,22,48.3,Mainly Clear
1/5/2012 12:00,-4.7,69,100.38,20,48.3,Mainly Clear
1/5/2012 13:00,-4.4,66,100.4,26,48.3,Mainly Clear
1/5/2012 14:00,-5.1,65,100.46,22,48.3,Mainly Clear
1/5/2012 15:00,-4.3,55,100.52,26,48.3,Mainly Clear
1/5/2012 16:00,-5,55,100.6,19,24.1,Mainly Clear
1/5/2012 17:00,-6.7,56,100.65,11,25,Mainly Clear
1/5/2012 18:00,-7.1,56,100.71,11,25,Clear
1/5/2012 19:00,-9.2,61,100.8,7,25,Clear
1/5/2012 20:00,-9.8,62,100.83,9,25,Clear
1/5/2012 21:00,-9,63,100.83,13,25,Clear
1/5/2012 22:00,-9.9,63,100.85,7,25,Cloudy
1/5/2012 23:00,-9.4,61,100.83,9,25,Cloudy
1/6/2012 0:00,-9.6,56,100.81,13,25,Cloudy
1/6/2012 1:00,-10,55,100.81,17,25,Cloudy
1/6/2012 2:00,-10.5,61,100.84,9,25,Cloudy
1/6/2012 3:00,-10.6,64,100.76,0,9.7,Snow
1/6/2012 4:00,-11.3,68,100.7,15,3.2,Snow
1/6/2012 5:00,-11.8,71,100.61,19,2.8,Snow
1/6/2012 6:00,-12,71,100.58,22,4.8,Snow
1/6/2012 7:00,-14.4,85,100.52,22,2.4,Snow
1/6/2012 8:00,-12.3,73,100.51,24,11.3,Snow
1/6/2012 9:00,-12.5,71,100.53,26,19.3,Snow
1/6/2012 10:00,-12.3,72,100.47,28,16.1,Snow
1/6/2012 11:00,-12,72,100.36,17,24.1,Snow
1/6/2012 12:00,-11.7,74,100.23,28,19.3,Snow
1/6/2012 13:00,-11.9,74,100.13,20,24.1,Snow
1/6/2012 14:00,-11.2,75,100.07,19,19.3,Snow
1/6/2012 15:00,-11.5,79,100.06,19,12.9,Snow
1/6/2012 16:00,-11.6,78,100.1,19,19.3,Snow
1/6/2012 17:00,-11.2,78,100.15,17,25,Snow
1/6/2012 18:00,-10.5,78,100.12,17,19.3,Cloudy
1/6/2012 19:00,-10.5,79,100.13,15,25,Cloudy
1/6/2012 20:00,-10.2,80,100.15,11,25,Cloudy
1/6/2012 21:00,-9.5,79,100.13,9,25,Cloudy
1/6/2012 22:00,-9.3,79,100.16,11,19.3,Cloudy
1/6/2012 23:00,-9,79,100.15,7,16.1,Cloudy
1/7/2012 0:00,-8.7,79,100.13,6,16.1,Cloudy
1/7/2012 1:00,-8.5,80,100.11,0,19.3,Cloudy
1/7/2012 2:00,-8.1,79,100.15,4,19.3,Cloudy
1/7/2012 3:00,-7.8,79,100.12,4,19.3,Cloudy
1/7/2012 4:00,-7.5,79,100.1,6,19.3,Cloudy
1/7/2012 5:00,-6.9,80,100.12,4,19.3,Cloudy
1/7/2012 6:00,-6.7,80,100.12,7,16.1,Cloudy
1/7/2012 7:00,-7,81,100.16,7,16.1,Cloudy
1/7/2012 8:00,-6.4,82,100.1,9,8,"Freezing Drizzle,Fog"
1/7/2012 9:00,-6.1,82,100.15,7,9.7,"Freezing Rain,Fog"
1/7/2012 10:00,-5.7,84,100.13,7,8,Freezing Rain
1/7/2012 11:00,-5.4,84,100.08,9,9.7,Freezing Drizzle
1/7/2012 12:00,-5.5,84,100.05,13,9.7,Freezing Drizzle
1/7/2012 13:00,-4.8,83,100.07,15,9.7,Freezing Rain
1/7/2012 14:00,-4.4,83,100.09,6,8,Snow
1/7/2012 15:00,-3.7,83,100.09,11,8,Snow
1/7/2012 16:00,-3.6,84,100.15,0,8,Snow
1/7/2012 17:00,-3.1,84,100.27,13,8,Snow
1/7/2012 18:00,-3.2,85,100.33,6,9.7,Snow
1/7/2012 19:00,-3,86,100.41,6,8,Snow
1/7/2012 20:00,-1.8,87,100.48,4,9.7,Snow
1/7/2012 21:00,-1.3,88,100.5,0,6.4,Snow
1/7/2012 22:00,-1.5,89,100.54,4,4,Fog
1/7/2012 23:00,0.4,87,100.62,22,9.7,Snow
1/8/2012 0:00,0.6,76,100.72,32,25,Cloudy
1/8/2012 1:00,-0.6,74,100.8,32,25,Mostly Cloudy
1/8/2012 2:00,-1.7,71,100.98,30,25,Mostly Cloudy
1/8/2012 3:00,-3.5,69,101.13,32,25,Mainly Clear
1/8/2012 4:00,-4.4,69,101.21,22,25,Mainly Clear
1/8/2012 5:00,-5.9,70,101.33,13,25,Mainly Clear
1/8/2012 6:00,-5.8,68,101.47,13,25,Cloudy
1/8/2012 7:00,-5.6,69,101.59,11,25,Cloudy
1/8/2012 8:00,-5.9,69,101.7,11,24.1,Snow
1/8/2012 9:00,-6.4,65,101.81,17,24.1,Snow
1/8/2012 10:00,-6.5,67,101.89,17,9.7,Snow
1/8/2012 11:00,-7.1,65,101.92,22,24.1,Snow
1/8/2012 12:00,-6.7,66,101.9,15,24.1,Snow
1/8/2012 13:00,-6.5,63,101.94,15,24.1,Cloudy
1/8/2012 14:00,-6.5,65,101.97,19,24.1,Mostly Cloudy
1/8/2012 15:00,-6.6,61,102.04,20,48.3,Mostly Cloudy
1/8/2012 16:00,-6.6,59,102.09,20,24.1,Mostly Cloudy
1/8/2012 17:00,-7.2,59,102.17,17,25,Mainly Clear
1/8/2012 18:00,-8.1,62,102.23,17,25,Mainly Clear
1/8/2012 19:00,-8,62,102.26,15,25,Mostly Cloudy
1/8/2012 20:00,-8.3,65,102.28,15,25,Mostly Cloudy
1/8/2012 21:00,-8.3,64,102.26,11,25,Mostly Cloudy
1/8/2012 22:00,-8.7,65,102.22,7,25,Mostly Cloudy
1/8/2012 23:00,-9,68,102.22,7,25,Mostly Cloudy
1/9/2012 0:00,-9.2,66,102.17,6,25,Mostly Cloudy
1/9/2012 1:00,-9.8,68,102.13,0,25,Mostly Cloudy
1/9/2012 2:00,-9,66,102.15,4,25,Mostly Cloudy
1/9/2012 3:00,-8.8,70,102.11,0,25,Cloudy
1/9/2012 4:00,-8.5,69,102.02,9,25,Cloudy
1/9/2012 5:00,-8.4,71,101.93,11,25,Cloudy
1/9/2012 6:00,-7.7,72,101.86,11,25,Cloudy
1/9/2012 7:00,-6.8,72,101.8,15,25,Mostly Cloudy
1/9/2012 8:00,-5.9,70,101.74,13,16.1,Snow
1/9/2012 9:00,-5.4,75,101.68,11,12.9,Snow
1/9/2012 10:00,-4.8,76,101.64,9,16.1,Snow
1/9/2012 11:00,-3.7,77,101.54,7,24.1,Snow
1/9/2012 12:00,-2.5,73,101.4,9,24.1,Cloudy
1/9/2012 13:00,-1.7,74,101.27,7,24.1,Cloudy
1/9/2012 14:00,-1.4,76,101.2,7,24.1,Cloudy
1/9/2012 15:00,-1,74,101.13,9,24.1,Mostly Cloudy
1/9/2012 16:00,-1.3,72,101.05,11,24.1,Mostly Cloudy
1/9/2012 17:00,-1.4,72,100.96,15,24.1,Mostly Cloudy
1/9/2012 18:00,-1,71,100.9,20,25,Mostly Cloudy
1/9/2012 19:00,-1.1,70,100.83,19,25,Mostly Cloudy
1/9/2012 20:00,-1.5,70,100.77,15,25,Mostly Cloudy
1/9/2012 21:00,-1.7,71,100.64,11,25,Mostly Cloudy
1/9/2012 22:00,-0.3,64,100.54,19,25,Mostly Cloudy
1/9/2012 23:00,-0.2,64,100.45,17,25,Cloudy
1/10/2012 0:00,2.5,57,100.38,30,25,Cloudy
1/10/2012 1:00,2.3,66,100.28,35,25,Snow
1/10/2012 2:00,1.4,75,100.23,19,6.4,Snow
1/10/2012 3:00,1.6,77,100.16,28,25,Snow
1/10/2012 4:00,1.2,81,100.07,26,25,Cloudy
1/10/2012 5:00,0.8,86,100.02,30,9.7,"Rain,Snow"
1/10/2012 6:00,0.7,87,100.04,30,8,Snow
1/10/2012 7:00,1.5,85,100.08,20,8,Snow
1/10/2012 8:00,1.2,85,100.11,24,16.1,Cloudy
1/10/2012 9:00,1.6,84,100.23,17,19.3,Cloudy
1/10/2012 10:00,2,81,100.27,24,24.1,Mostly Cloudy
1/10/2012 11:00,2.6,77,100.29,22,24.1,Mainly Clear
1/10/2012 12:00,1.4,72,100.32,30,24.1,Mostly Cloudy
1/10/2012 13:00,0.7,64,100.36,26,24.1,Mostly Cloudy
1/10/2012 14:00,-0.2,64,100.45,26,24.1,Mainly Clear
1/10/2012 15:00,-1.4,61,100.65,30,24.1,Mainly Clear
1/10/2012 16:00,-3.1,55,100.81,30,24.1,Mostly Cloudy
1/10/2012 17:00,-4,54,100.91,17,24.1,Mostly Cloudy
1/10/2012 18:00,-4.9,54,101.04,15,25,Mostly Cloudy
1/10/2012 19:00,-5.7,53,101.15,15,25,Mostly Cloudy
1/10/2012 20:00,-6.4,53,101.24,13,25,Mostly Cloudy
1/10/2012 21:00,-6.6,57,101.32,9,25,Mostly Cloudy
1/10/2012 22:00,-7.3,55,101.34,13,25,Mostly Cloudy
1/10/2012 23:00,-8.6,57,101.44,19,25,Mostly Cloudy
1/11/2012 0:00,-9.5,55,101.43,17,25,Mostly Cloudy
1/11/2012 1:00,-10.7,56,101.49,17,25,Clear
1/11/2012 2:00,-12,56,101.57,19,25,Clear
1/11/2012 3:00,-12.7,57,101.64,19,25,Clear
1/11/2012 4:00,-13.4,57,101.66,17,25,Clear
1/11/2012 5:00,-13.9,55,101.66,19,25,Mainly Clear
1/11/2012 6:00,-14.4,57,101.72,20,25,Mainly Clear
1/11/2012 7:00,-14.4,57,101.77,13,25,Mostly Cloudy
1/11/2012 8:00,-14.7,57,101.8,15,24.1,Mostly Cloudy
1/11/2012 9:00,-14.3,58,101.81,15,24.1,Mostly Cloudy
1/11/2012 10:00,-13.9,55,101.89,11,19.3,Cloudy
1/11/2012 11:00,-13.4,54,101.78,15,24.1,Mostly Cloudy
1/11/2012 12:00,-12.7,53,101.68,17,24.1,Cloudy
1/11/2012 13:00,-12.2,52,101.63,19,24.1,Mostly Cloudy
1/11/2012 14:00,-11.4,52,101.56,20,24.1,Mostly Cloudy
1/11/2012 15:00,-11.6,50,101.61,20,24.1,Mostly Cloudy
1/11/2012 16:00,-11.8,47,101.6,20,24.1,Mostly Cloudy
1/11/2012 17:00,-11.9,51,101.56,26,24.1,Mostly Cloudy
1/11/2012 18:00,-12,52,101.51,24,25,Mostly Cloudy
1/11/2012 19:00,-11.8,54,101.43,30,25,Mostly Cloudy
1/11/2012 20:00,-11.2,57,101.4,24,25,Cloudy
1/11/2012 21:00,-11.2,65,101.32,19,25,Cloudy
1/11/2012 22:00,-10.8,65,101.29,22,25,Cloudy
1/11/2012 23:00,-10.7,67,101.19,20,25,Mostly Cloudy
1/12/2012 0:00,-10,66,101.17,19,25,Mostly Cloudy
1/12/2012 1:00,-9.8,65,101.13,24,25,Mostly Cloudy
1/12/2012 2:00,-9.4,64,101.08,26,25,Cloudy
1/12/2012 3:00,-9,63,101.02,33,25,Cloudy
1/12/2012 4:00,-8.5,64,100.93,22,25,Cloudy
1/12/2012 5:00,-8,64,100.81,30,25,Cloudy
1/12/2012 6:00,-7.6,65,100.76,28,25,Cloudy
1/12/2012 7:00,-7.3,65,100.69,28,16.1,Snow Showers
1/12/2012 8:00,-7.1,72,100.61,33,6.4,Snow
1/12/2012 9:00,-6.8,75,100.54,33,3.2,Snow
1/12/2012 10:00,-6.2,77,100.46,35,4.8,Snow
1/12/2012 11:00,-6,76,100.35,32,2,Snow
1/12/2012 12:00,-5.8,79,100.22,32,4.8,Snow
1/12/2012 13:00,-5.8,81,100.09,33,1.2,Snow
1/12/2012 14:00,-5.7,81,99.97,28,1.2,Snow
1/12/2012 15:00,-5.2,83,99.9,26,0.8,Moderate Snow
1/12/2012 16:00,-4.9,83,99.88,33,0.6,Moderate Snow
1/12/2012 17:00,-5.1,83,99.83,33,1,Snow
1/12/2012 18:00,-5.4,81,99.76,35,1.2,Snow
1/12/2012 19:00,-5,82,99.72,30,4,Snow
1/12/2012 20:00,-5,81,99.64,28,6.4,Snow
1/12/2012 21:00,-4.7,80,99.56,24,6.4,Snow
1/12/2012 22:00,-4.1,81,99.47,26,25,Snow
1/12/2012 23:00,-4.6,83,99.4,28,3.2,Snow
1/13/2012 0:00,-5.1,83,99.3,28,2.4,Snow
1/13/2012 1:00,-5,81,99.24,24,4.8,Snow
1/13/2012 2:00,-4.8,81,99.22,22,25,Snow
1/13/2012 3:00,-4.5,83,99.19,19,4.8,"Freezing Drizzle,Snow"
1/13/2012 4:00,-5,83,99.13,24,11.3,Cloudy
1/13/2012 5:00,-5.1,82,99.06,20,12.9,Cloudy
1/13/2012 6:00,-5.4,83,98.94,22,16.1,Cloudy
1/13/2012 7:00,-5.1,82,98.84,22,16.1,Cloudy
1/13/2012 8:00,-5.1,83,98.69,26,8,Freezing Rain
1/13/2012 9:00,-5,84,98.56,32,4.8,"Freezing Rain,Snow Grains"
1/13/2012 10:00,-4.8,83,98.44,26,12.9,Freezing Drizzle
1/13/2012 11:00,-4.8,83,98.22,28,9.7,Freezing Rain
1/13/2012 12:00,-4.8,81,98.07,24,2,Snow
1/13/2012 13:00,-4.9,83,97.99,20,1.2,Snow
1/13/2012 14:00,-4.8,85,98.07,6,2,Snow
1/13/2012 15:00,-4.3,85,98.1,13,8,Snow
1/13/2012 16:00,-3.7,84,98.16,11,6.4,Snow
1/13/2012 17:00,-2.9,87,98.23,15,1.6,Snow
1/13/2012 18:00,-1.7,89,98.32,26,16.1,Snow
1/13/2012 19:00,-2.5,86,98.6,33,2,Snow
1/13/2012 20:00,-3.2,87,98.89,32,2,Snow
1/13/2012 21:00,-4.8,79,99.09,37,4.8,"Snow,Blowing Snow"
1/13/2012 22:00,-5.5,70,99.28,32,12.9,Snow
1/13/2012 23:00,-7.6,75,99.51,35,9.7,"Snow,Blowing Snow"
1/14/2012 0:00,-8.9,72,99.67,39,9.7,"Snow,Blowing Snow"
1/14/2012 1:00,-9.7,69,99.85,24,12.9,Snow
1/14/2012 2:00,-11.2,70,100.01,28,9.7,"Snow,Blowing Snow"
1/14/2012 3:00,-12,71,100.16,24,8,"Snow,Blowing Snow"
1/14/2012 4:00,-13.4,63,100.26,20,16.1,Snow
1/14/2012 5:00,-14.3,63,100.39,24,25,Cloudy
1/14/2012 6:00,-15.2,63,100.6,24,25,Cloudy
1/14/2012 7:00,-16.8,63,100.73,26,25,Mostly Cloudy
1/14/2012 8:00,-17.9,62,100.84,20,24.1,Mostly Cloudy
1/14/2012 9:00,-18,61,100.97,19,24.1,Cloudy
1/14/2012 10:00,-18,60,101.08,22,24.1,Mostly Cloudy
1/14/2012 11:00,-17.8,59,101.14,20,24.1,Mostly Cloudy
1/14/2012 12:00,-17.5,58,101.16,20,48.3,Mostly Cloudy
1/14/2012 13:00,-17.1,55,101.18,17,48.3,Mainly Clear
1/14/2012 14:00,-16.7,56,101.2,17,48.3,Mostly Cloudy
1/14/2012 15:00,-16.7,56,101.24,22,48.3,Mostly Cloudy
1/14/2012 16:00,-16.7,52,101.3,19,24.1,Mostly Cloudy
1/14/2012 17:00,-17.4,54,101.36,13,25,Mostly Cloudy
1/14/2012 18:00,-17.7,56,101.46,20,25,Mainly Clear
1/14/2012 19:00,-18.3,59,101.56,17,25,Mainly Clear
1/14/2012 20:00,-19.6,58,101.62,13,25,Mainly Clear
1/14/2012 21:00,-20,59,101.65,11,25,Mostly Cloudy
1/14/2012 22:00,-19.9,58,101.74,13,25,Mostly Cloudy
1/14/2012 23:00,-20.3,59,101.79,9,25,Mostly Cloudy
1/15/2012 0:00,-21.2,61,101.81,11,25,Cloudy
1/15/2012 1:00,-21.1,61,101.86,9,25,Cloudy
1/15/2012 2:00,-21.4,63,101.99,9,25,Cloudy
1/15/2012 3:00,-20.7,62,102.04,4,25,Cloudy
1/15/2012 4:00,-21,61,102.12,0,25,Cloudy
1/15/2012 5:00,-21.3,63,102.19,6,25,Mostly Cloudy
1/15/2012 6:00,-23.2,62,102.28,7,25,Mostly Cloudy
1/15/2012 7:00,-22.8,62,102.37,9,25,Mainly Clear
1/15/2012 8:00,-23.3,62,102.45,7,24.1,Clear
1/15/2012 9:00,-22.2,60,102.57,9,48.3,Mainly Clear
1/15/2012 10:00,-20.6,58,102.66,9,48.3,Mainly Clear
1/15/2012 11:00,-19.3,55,102.68,9,48.3,Mainly Clear
1/15/2012 12:00,-18,52,102.67,13,48.3,Mainly Clear
1/15/2012 13:00,-16.8,53,102.65,20,48.3,Mainly Clear
1/15/2012 14:00,-16,53,102.66,26,48.3,Mainly Clear
1/15/2012 15:00,-15.4,53,102.71,24,48.3,Clear
1/15/2012 16:00,-15.1,52,102.79,24,48.3,Clear
1/15/2012 17:00,-16.2,55,102.85,15,25,Clear
1/15/2012 18:00,-16.3,57,102.89,17,25,Clear
1/15/2012 19:00,-16.3,58,102.94,20,25,Clear
1/15/2012 20:00,-16.7,61,102.98,17,25,Clear
1/15/2012 21:00,-16.9,63,103.02,15,25,Clear
1/15/2012 22:00,-16.9,66,103.07,17,25,Clear
1/15/2012 23:00,-16.9,68,103.09,15,25,Clear
1/16/2012 0:00,-17.1,66,103.09,15,25,Clear
1/16/2012 1:00,-17.8,65,103.05,6,25,Clear
1/16/2012 2:00,-18.5,68,103.08,6,25,Clear
1/16/2012 3:00,-19.2,67,103.07,6,25,Clear
1/16/2012 4:00,-18.7,66,103.05,0,25,Clear
1/16/2012 5:00,-19.1,69,103.02,0,25,Clear
1/16/2012 6:00,-18.7,68,103.01,0,25,Clear
1/16/2012 7:00,-17.9,73,102.96,4,48.3,Mainly Clear
1/16/2012 8:00,-17.9,67,102.9,9,48.3,Mostly Cloudy
1/16/2012 9:00,-14.4,59,102.75,22,48.3,Cloudy
1/16/2012 10:00,-13.6,65,102.62,19,48.3,Mostly Cloudy
1/16/2012 11:00,-12.7,66,102.44,20,48.3,Mostly Cloudy
1/16/2012 12:00,-10.7,60,102.17,19,48.3,Mostly Cloudy
1/16/2012 13:00,-10.1,61,101.92,13,48.3,Cloudy
1/16/2012 14:00,-9,68,101.71,13,48.3,Mostly Cloudy
1/16/2012 15:00,-8,63,101.49,17,48.3,Cloudy
1/16/2012 16:00,-7.1,57,101.41,9,48.3,Cloudy
1/16/2012 17:00,-7.6,56,101.34,4,25,Mostly Cloudy
1/16/2012 18:00,-12.5,66,101.31,15,25,Mainly Clear
1/16/2012 19:00,-14.8,70,101.23,15,25,Mainly Clear
1/16/2012 20:00,-14,70,101.19,13,25,Cloudy
1/16/2012 21:00,-12.9,71,101.12,11,25,Cloudy
1/16/2012 22:00,-12.2,70,101.05,9,25,Cloudy
1/16/2012 23:00,-11.5,71,100.98,7,25,Cloudy
1/17/2012 0:00,-10.8,71,100.94,9,25,Cloudy
1/17/2012 1:00,-10.4,71,100.88,9,25,Cloudy
1/17/2012 2:00,-9.7,73,100.84,9,25,Cloudy
1/17/2012 3:00,-9.2,73,100.84,6,25,Cloudy
1/17/2012 4:00,-9,78,100.8,6,6.4,Freezing Drizzle
1/17/2012 5:00,-8.3,85,100.75,6,3.6,"Freezing Drizzle,Snow"
1/17/2012 6:00,-7.7,84,100.72,6,2.4,"Freezing Drizzle,Snow"
1/17/2012 7:00,-7.5,85,100.69,9,2,Snow
1/17/2012 8:00,-7.4,84,100.65,9,2.4,Snow
1/17/2012 9:00,-7,82,100.59,15,4,Snow
1/17/2012 10:00,-6.5,82,100.6,15,1.2,Snow
1/17/2012 11:00,-6.1,83,100.53,15,2.4,Snow
1/17/2012 12:00,-5.3,82,100.38,19,2.8,Snow
1/17/2012 13:00,-5.1,82,100.23,22,2.4,Snow
1/17/2012 14:00,-4.3,85,100.05,22,1.6,Snow
1/17/2012 15:00,-3.7,84,99.9,24,1.2,Snow
1/17/2012 16:00,-3.5,83,99.69,28,1.2,Snow
1/17/2012 17:00,-3.6,84,99.57,22,1.6,Snow
1/17/2012 18:00,-3.5,84,99.38,22,2.4,Snow
1/17/2012 19:00,-3.3,84,99.22,24,4.8,"Freezing Drizzle,Snow"
1/17/2012 20:00,-3.6,85,98.98,24,3.2,Freezing Rain
1/17/2012 21:00,-2.9,86,98.71,26,2.8,Freezing Rain
1/17/2012 22:00,-1.6,89,98.47,17,3.2,Freezing Rain
1/17/2012 23:00,-0.6,90,98.32,7,2.8,"Freezing Rain,Fog"
1/18/2012 0:00,2.1,90,98.31,11,8,Fog
1/18/2012 1:00,3.7,66,98.36,83,25,Mostly Cloudy
1/18/2012 2:00,0.5,72,98.62,70,25,Mostly Cloudy
1/18/2012 3:00,-3.5,70,99,57,25,Mostly Cloudy
1/18/2012 4:00,-6.1,69,99.36,48,25,Snow
